Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2019-01-01,Bengaluru,HealthCare,"Abhishek Poddar, Saurabh Arora","Harsh Jain, Lalit Keshre",Series A,Plum,High quality health insurance and health benefits,15000000.0
2019-01-01,Satara,HealthCare,Nishant Neeraj,"Supriya Kumari, Premanshu Singh",Pre-Seed,ThatMate,ThatMate is a sexual and mental wellness app for teens.,140000.0
2016-01-01,Mumbai,EdTech,Alka Javeri,ah! Ventures,Series G,Klassroom,Klassroom offers a one-of-a-kind LIVE interactive learning experience to students.,200000.0
2019-01-01,Bengaluru,SaaS startup,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary","9Unicorns Accelerator Fund, Sunder Nookala",Series F,Convin,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,300000.0
2021-01-01,Bengaluru,Clothing,Saurabh Saxena,"Accel Partners, Falcon Edge Capital, Norwest Venture Partners",Series A,Mensa Brands,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",50000000.0
2021-01-01,Ahmadabad,Consulting,"Yash Shah, Kapil Mathrani, Ishit Desai",Pravesh Mehta,Series H,Disruptium,A consultancy platform for startups,200000.0
2017-01-01,Odisha,HealthCare,"Ajit Choudhury, Lalit Ranjan Manik, Manish Kumar Swain, Shashank Singhal, Siba Prasad Panda",Blue Ashva Capital,Seed,MedTel Healthcare,An aggregator for Digital Health Clinics in low resource settings.,5000000.0
2019-01-01,Bengaluru,Finance,"Namandeep Bhatia, Archana E","Gaurav Gupta, Vivek Srivatsav",Private Equity,Pickright Technologies,Pickright is a fintech marketplace platform for stock market investors and the stock market advisors.,200000.0
2018-01-01,New Delhi,EdTech,"Pramudit Somvanshi, Mohit Patel, Aakash Gupta",Lead Angels,Seed,Ingenium,Ingenium Education has been pushing e-learning by bringing small and medium sized institutes and schools online.,3000000.0
2018-01-01,New Delhi,Finance,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Amplo, Insight Partners",Bridge,BharatPe,"BharatPe is the definitive platform for financial services. We process payments via UPI and POS, and provide credit / loans to our merchants",6000000.0
2019-01-01,Bengaluru,Tech Startup,"Satish Mugulavalli, Srinivas Katta","Induslaw, Reddy Futures",Seed,RuleZero,Rulezero is a technology platform created by experienced startup executives to automate and manage the equity ownership of a startup.,1000000.0
2018-01-01,Mumbai,IT startup,Mohan Ramaswamy,Sequoia Capital India,Seed,Rubix Data Sciences,"Rubix Data Sciences focuses on simplifying decision making for Credit, Risk, Compliance, Supply Chain and Marketing professionals in the B2B domain.",800000.0
2011-01-01,Mumbai,Analytics,Vishal Agrawal,Yuj Ventures,Series A,Locobuzz,LocoBuzz is an analytics-based integrated marketing platform.,4000000.0
2020-01-01,Mumbai,Finance,Neeraj Tyagi,Geekster,Series F,We Founder Circle,"A global platform of founders for founders offering investment, network and business opportunities.",2000000.0
2015-01-01,Jaipur,Finance,Saurav Kumar,"Manish Subramaniam, Upaya Social Ventures",Debt Financing,Haqdarshak,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,800000.0
2020-01-01,Mumbai,Transport,"Swarup Bose, Rajneesh Raman, Arbind Jain",Eaglewings Ventures,Seed,Celcius,The “ONLINE” Cold Chain network for Reefer trucks and Cold storage facilities.,3000000.0
2020-01-01,Chandigarh,AI startup,"Tushar Jain, Vishal Verma",Appit Simple Infotek,Pre-Seed,Enthu.ai,Enthu.AI operates as a conversation intelligence startup.,200000.0
2019-01-01,Bengaluru,AI startup,Nirmit Parikh,Beyond Next Ventures,Fresh Funding,Myelin Foundry,"Myelin Foundry is a deep tech product start-up transforming human experiences and industry outcomes by building Artificial Intelligence algorithms on video, voice, and sensor data, for consumer edge devices",1000000.0
2020-01-01,Chennai,AI startup,"Arvind Parthiban, Jayakumar Karumbasalam","Ramakant Sharma, Elevation Capital",Seed,SuperOps.ai,SuperOps.ai is an early stage startup in the MSP space.,3000000.0
2014-01-01,Mumbai,Retail,"Amit Bhardwaj, Nikhil Hegde","Keiretsu Forum, SucSEED Venture Partners",Series E,6Degree,6Degree is a fashion retail startup that provides a launchpad to fashion talent and brands using a tech-enabled platform.,1000000.0
2020-01-01,Bengaluru,EdTech,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain","Lightspeed India Partners, CM Ventures",Series A,Teachmint,Teachmint is an online learning platform that focuses on tutor-student connectivity.,16500000.0
2020-01-01,Jodhpur,HealthCare,Aditi Poyam,Blue Ashva Capital,Seed,Sarathi,"Offer a range of services like lab tests, consultation at home, nursing services, emergency services, and appointment management.",100000.0
2018-01-01,Chennai,Software,Sekar Udayamurthy,Y Combinator,Seed,Jidoka Technologies,"Deliver automation of visual inspection, retaining the power of human intelligence, to enhance quality and efficiency",340000.0
2015-01-01,Bengaluru,Transport,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR","Skycatcher, Nexus Venture Partners",Series C,Rapido,Rapido is a bike taxi service that encourages people to offer bike rides to other people.,43000000.0
2011-01-01,Bengaluru,EdTech,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",Series A,BYJU'S,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,150000000.0
2015-01-01,Pune,E-commerce,"Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal","Avataar Venture Partners, Kalaari Capital",Series D,ElasticRun,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,75000000.0
2017-01-01,Bengaluru,Finance,"Ankush Aggarwal, Tushar Mehndiratta","Alteria Capital, Matrix Partners India",Series D,Avail Finance,Avail is a mobile-first platform aiming to financially include the urban mass of India.,3000000.0
2016-01-01,Noida,Finance,"Anurag Garg, Sridhar Srinivasan","Raghav Kapur, Indian Angel Network",Series A,Nivesh,Nivesh.com is a mass market mutual funds investment platform.,1600000.0
2020-01-01,Pune,IoT platform,"Akshay Ghadage, Pranav Naiknavare",GSF Accelerator,Debt Financing,Thingsup,Thingsup is an Enterprise Grade IoT Platform.,1000000.0
2020-01-01,Mumbai,Finance,Gaurav Arora,"Rishi Kumar Bagla, Krishen Lal Khanna",Series B+,Arthya Wealth and Investments,"A comprehensive, high quality, open-architecture based Wealth Management and Investment Advisory platform, to cater to investors across the board: Individuals, Businesses/Corporate Treasuries, Family Offices, Trusts and more.",1000000.0
2021-01-01,Mumbai,E-commerce,"Aadit Palicha, Kaivalya Vohra","Glade Brook Capital, Nexus, Y Combinator",Seed,Zepto,Grocery delivery startup,60000000.0
2019-01-01,Bengaluru,Financial Services,Sumit Gwalani,"Capital Group, Falcon Edge",Series B,Fi,Fi is a neo bank.,50000000.0
2020-01-01,Gurugram,Commerce,"Alok Chawla, Shivam","Dinesh Agarwal, Amarjit Batra",Series B+,Kiko Live,Video-based social commerce startup,1000000.0
2019-01-01,Hyderabad,Computer Software,Deepak Agrawal,"Arcilla, Samir Khosla",Series A+,TurboHire,"Industry-leading augmented intelligence software for Talent Intelligence, Recruitment Automation, and Applicant Tracking",3000000.0
2015-01-01,Mumbai,Hospitality,Pranav Dangi,"SUNiCON Ventures, Shubhkam Ventures, Jito Angel network, FAAD Network",Pre-Seed,The Hosteller,"Pit-stop for global as well as local travellers to relax, rejuvenate and experience India’s rich heritage while not worrying about a clean, safe and smart place to stay.",1000000.0
2017-01-01,Bengaluru,Defense & Space,"Prateep Basu, Rashmit Singh Sukhmani, Abhishek Raju",Baring PE India,Bridge,SatSure,SatSure is an innovative decision analytics company,3000000.0
2020-01-01,New Delhi,Financial Services,Ankur Gupta,Manuvel Malabar Jewellers,Seed Round,Ruptok Fintech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",2000000.0
2017-01-01,Bengaluru,Retail,Prasanna Kumar,Nabventures,Fresh Funding,VilCart,Vilcart's motto is sustainable rural development through stability for rural retailers.,2000000.0
2015-01-01,Bengaluru,Food & Beverages,"Bhupendra Khanal, Sneh Sharma",Sixth Sense Ventures,Private Equity,Dogsee Chew,100% Natural Dog Treats.,7000000.0
2014-01-01,Gurugram,HR Tech,Sourabh Deorah,"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah",Private Equity,Advantage Club,Advantage Club is India's largest employee engagement platform.,3300000.0
2020-01-01,Bengaluru,Financial Services,Ricky Jacob,"Kunal Shah, Snehal Fulzele",Seed Round,TRDR,TRDR is an all-new approach to investing.,150000.0
2012-01-01,Bengaluru,Mobility,Greg Moran,SternAegis Ventures,Series D1,Zoomcar,Zoomcar holds the distinction of being India’s first personal mobility platform,92000000.0
2013-01-01,Mumbai,Transport,Anurag Malempati,CDC Group,Seed,Leap India,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",10000000.0
2015-01-01,Mumbai,Consumer Goods,Pallavi Utagi,Alteria Capital,Early Seed,SuperBottoms,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,400000.0
2020-01-01,Bengaluru,"Health, Wellness & Fitness","Snigdha Kumar, Shrijit Venkatesh",Indian Angel Network,Seed,Cora Health,Social commerce marketplace for everyday health and wellness.,600000.0
2019-01-01,New Delhi,Renewables & Environment,"Pulkit Khurana, Siddharth Sikka","Blume Ventures, Orios Ventures",Series B,Battery Smart,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,7000000.0
2021-01-01,Pune,Information Technology & Services,"Darpan Sanghvi, Priyanka Gill, Naiyya saggi","Warburg Pincus﻿, Prosus Ventures",Series D,The Good Glamm Group,South Asia’s largest Content-to-Commerce scale-up investing $100 million in fast-growing beauty & personal care brands.,150000000.0
2019-01-01,Mumbai,"Health, Wellness & Fitness",Dhyanesh Shah,Sequoia,Series A,Mosaic Wellness,A platform of digital first health clinics for men and women,24000000.0
2020-01-01,Bengaluru,SaaS startup,"Vishesh Singhal, Ankit Gupta, Siddharth Garg",Titan Capital,Series E,CloudFiles,"Supercharge files with enterprise-grade security, page-by-page analytics and powerful content automations.",300000.0
2012-01-01,Mumbai,Entertainment,Arunabh Kumar,BlackSoil,Seed Funding,The Viral Fever,India's leading digital entertainment network.,2000000.0
2021-01-01,New Delhi,Retail,Sanjay Kaul,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal",Series B+,Xpand,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,1500000.0
2018-01-01,Hyderabad,E-commerce,Raju Bhupati,OAKS Asset Management,Series A,Troo Good,An FMCG company selling nutritious products at an affordable price points.,7000000.0
2021-01-01,New Delhi,Business Supplies & Equipment,"Sameen Husain, Abhiroop Srivastava","Titan Capital, LetsVenture",Debt Financing,Prodo,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.",300000.0
2019-01-01,Noida,Finance,"Amit Sinha, Ashok Prasad","Incofin, NabVentures, Orios",Series A,Unnati,Fintech powered digital agri ecosystem,7000000.0
2021-01-01,Bengaluru,NFT,Sadiq Ahamed,BEENEXT,Seed,Lysto,"Lysto is building APIs, Tools & Infrastructure to enable the creation & distribution of NFTs across platforms with a few clicks or few lines of code.",3000000.0
2014-01-01,Bengaluru,Furniture,"Ankit Garg, Chaitanya Ramalingegowda",SIG,Series C,Wakefit,"A home solutions and sleep company, currently collaborating with the world's biggest sleep influencer.",20000000.0
2020-01-01,Coimbatore,Oil & Energy,"Kishan Karunakaran, Venkateswaran Selvan, Sumanth Kumar",Inflection Point Ventures,Seed,Buyofuel,Green Fuels Marketplace,100000.0
2021-01-01,Bengaluru,EV,"Avinash Sharma, Raghav Rohila","Blume Ventures, Micelio Fund",Seed,ElectricPe,India's largest Electric Vehicle Charging Platform,3000000.0
2017-01-01,Pune,Financial Services,Ramaswamy Iyer,"CDC Group, Jungle Ventures, March Capital, Marshall Wace",Series C,Vayana Network,"Vayana Network is an electronic network that connects Corporates and their Supply Chain to Financial Institutions for easy, quick and low-cost access to Trade Financing of their Payables and Receivables.",30000000.0
2020-01-01,Surat,E-learning,"Pratik Bajaj, Kunal Shah, Mahip Gupta","Ashish Jain, Ajay Surana",Pre-Seed,Valuationary,EdTech platform upskilling candidates to bag deserving finance job roles.,100000.0
2016-01-01,Lucknow,Online Media,"Varul Mayank, Vibhore Mayank","We Founder Circle, Appyhigh, Mumbai Angels",Series D1,Knocksense,Knocksense is a local news and recommendations platform.,150000.0
2011-01-01,Ahmedabad,Information Technology & Services,"Apurv Patel, Parthiv Patel","Aroa Ventures, GVFL, Udaan",Early Seed,Petpooja,"Petpooja is the largest next-generation PoS platform for the F&B sector with more than 25,000+ clients across India and UAE.",4500000.0
2011-01-01,Gurugram,Food & Beverages,"Anju C Srivastava, Arjun Srivastava","Investcorp, Omidyar Network",Private Equity,Wingreens Farms,"Wingreens Farms is a fully integrated (farm to retail) Food Company in the business of making and selling a range of fresh, healthy, tasty and innovative food products.",17000000.0
2020-01-01,New York,Company-as-a-Service,"Arjun Mahadevan, JP Pincheira",Nexus Venture Partners,Series F,Doola,The ultimate One-Stop-Shop™? to help US and Non-US Founders to turn an idea into their dream US Business,3000000.0
2021-01-01,Gurugram,Eyewear,Ganesh Iyer,2000000,Series G,EyeMyEye,"Shop the latest Eyeglasses, Sunglasses, Power Sunglasses, Contact Lens and more.",2000000.0
2013-01-01,Mumbai,Textiles,"Avnish Pandya, Delzaad Deolaliwala","Riteesh Mohan Bakshi, Raghav Mohan Bakshi, Achin Kochar",Series D,Bombay Hemp Company,"BOHECO was founded to research on and promote industrial hemp, the super crop of our era in India. BOHECO was formally registered under The Companies Act",2000000.0
2019-01-01,Bengaluru,Information Technology & Services,Ragavan Venkatesan,"Info Edge Ventures, Omnivore",Fresh Funding,DGV,NeoBanking for Bharat,3000000.0
2017-01-01,Chennai,Information Technology & Services,"Ramkumar Subramaniam, Kamesh Elangovan",Kalaari Capital,Series A,GuardianLink,Building tech infrastructure to help NFT commerce go mainstream,12000000.0
2016-01-01,Bengaluru,Hospital & Health Care,"Dr.Suraj Baliga, Bhavjot Kaur",MassMutual Ventures,Series B,Clinikk,Transforming health insurance by building India's first managed care model,4000000.0
2021-01-01,Bengaluru,Computer Software,"Rishen Kapoor and Ruchin Kulkarni, Rohit Khanna","Sequoia Capital , Together Fund",Series B,Toplyne,Toplyne helps sales teams at product-led companies convert their freemium users!,2500000.0
2021-01-01,Bengaluru,D2C,Sahil Barua,"Alpha Wave Ventures, Falcon Edge Capital",Series B,Mensa,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",135000000.0
2021-01-01,Haryana,Professional Training & Coaching,"Sachin Sandhir, Nimish Gupta, Nitin Thakur, Shweta Kataria","Vivek Vaidya, Kevin Donlon, Ayush Singh",Seed,GENLEAP,GenLeap is India’s first self-discovery and career lifecycle management platform.,8000000.0
2015-01-01,Chennai,Maritime,"Tanuj Jhunjhunwala, Vineet Upadhyay, Rakesh Sirikonda","Kieretsu Forum, Lets Venture, Shell",Series A+,Planys,Planys is an Indian deep tech start-up creating a paradigm shift in the underwater inspection industry.,1600000.0
2009-01-01,Mumbai,Consumer Goods,Ravi Saxena,"Sixth Sense Ventures, Godrej Family office, Malpani Group",Private Equity,Wonderchef,"Wonderchef Cookware and Appliances is a perfect blend of health, taste, and convenience that inspires us to 'cook with pride'.",20000000.0
2020-01-01,New Delhi,Information Technology & Services,"Chirag, Vivek Bajpai, Ankush Talwar",Sequoia Capital India,Series A,GoKwik,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,15000000.0
2020-01-01,Bengaluru,Financial Services,"Saurav Swaroop, Abhiroop Medhekar, Atul Khichariya",Valar Ventures,Series A,Velocity,"Velocity provides revenue based financing, up to Rs 3 crores, for marketing and inventory spends of online businesses.",20000000.0
2020-01-01,Gurugram,Financial Services,"Nikhil Goel, Peeyush Goyal","Y-Combinator, AME Cloud Ventures, Gokul Rajaram",Seed,SalaryBox,SalaryBox is solution that makes employee management effortless.,4000000.0
2019-01-01,Gurugram,Furniture,"Neha Indoria, Dhruvan Barar",Inflection Point Ventures,Seed,Boingg,D2C furniture brand,200000.0
2006-01-01,Santra,Finance,Vaibhav Domkundwar,We Founder Circle,Series H,Better Capital,"Better is a top-tier India-focused pre-seed venture firm with a portfolio of 100+ companies including stellar successes like Rupeek, Open, Khatabook, Bijak",15000000.0
2019-01-01,Bengaluru,Financial Services,Ujjwal Ankur,Smallcase,Series A,Tickertape,"Tickertape provides data, information & content for Indian stocks, ETFs & indices",5000000.0
2019-01-01,New Delhi,Financial Services,Ankit Bhargava,"The StarupLab, AngelBay",Series C,Zenpay Solutions,"India’s fastest growing fintech company, which has revolutionized the ultimate banking experience especially by reaching out to thousands of blue-collared employees by promoting digital banking solutions across India.",3000000.0
